id,red,green,blue,black,white,doble(1:yes, 0:no)
"07 25 03.64 +06 38 49.9",10929,182,2231,1001544,9304,1
"03 29 43.21 +60 30 14.4",3360,184,974,1011911,7761,1
"05 44 27.61 +37 49 41.2",4114,184,1089,1011114,7689,1
"04 13 12.93 +00 27 56.3",529,173,709,1021961,818,1
"02 32 57.88 +19 55 11.5",2932,176,544,1014052,6486,1
"02 14 52.13 +13 52 42.0",1201,177,339,1020826,1647,1
"02 48 31.06 +32 46 19.9",1283,182,590,1018421,3714,1
"07 56 44.79 +46 19 57.2",1083,179,435,1021119,1374,1
"04 59 02.62 +67 32 11.1",3286,182,1211,1012257,7254,1
"02 40 08.66 +02 55 06.7",3636,178,1532,1011656,7188,1
"00 39 33.77 +28 03 32.4",2721,184,2285,1011370,7630,1
"00 40 47.49 -07 13 57.5",55864,184,6296,3669483,85898,1
"00 57 41.57 +04 41 03.3",1758,183,1092,1019375,1782,1
"01 46 42.88 +02 14 28.4",434,184,1867,1019378,2327,1
"06 46 27.70 +19 29 06.2",9615,178,610,1004848,8939,1
"00 51 24.03 +26 35 32.4",1887,183,283,1019498,2339,1
"00 07 11.93 +47 24 46.9",5608,176,463,1006970,10973,1
"05 08 55.27 +20 38 49.4",1220,184,3774,1015283,3729,1
"07 09 13.51 +61 09 31.6",753,181,2743,1017946,2567,1
"01 54 28.04 +57 41 27.9",356,181,10857,1002498,10298,1
"02 42 28.99 +33 29 40.5",2042,183,1043,1017368,3554,1
"03 23 07.31 +13 38 41.9",910,181,693,1021511,895,1
"02 49 35.19 +75 01 26.5",4204,213,2422,1008537,8814,1
"00 40 47.43 +20 15 54.3",521,187,737,1021596,1149,1
"01 13 00.89 +24 45 41.3",932,178,420,1021219,1441,1
"01 56 25.41 -04 57 12.8",5437,195,10171,3773810,28112,1
"02 40 34.86 +34 19 51.5",6279,174,3486,1008324,5927,1
"07 17 08.96 +47 39 18.1",1075,178,2827,1012420,7690,1
"03 16 27.89 +36 48 28.3",1992,177,787,1017175,4059,1
"02 01 15.09 +02 18 25.7",299,181,977,1020997,1736,1
"02 12 39.70 +16 14 06.6",456,178,559,1022142,855,1
"00 50 53.28 +12 14 56.0",740,183,368,1021860,1039,1
"02 00 57.33 -05 10 44.5",2691,185,5020,3794483,15346,1
"04 14 31.10 +28 51 51.6",1820,183,1439,1017204,3544,1
"04 54 44.92 +18 30 05.1",2082,181,863,1017189,3875,1
"00 07 25.16 -05 18 46.5",2070,186,1182,3806637,7650,1
"04 24 49.26 +01 06 56.1",1514,183,1441,1017289,3763,1
"03 04 57.22 +04 38 40.3",1656,179,538,1020186,1631,1
"04 54 32.63 +65 03 42.5",4279,178,2150,1009249,8334,1
"06 30 15.47 +65 34 22.4",943,181,599,1017264,5203,1
"07 27 50.77 +42 28 19.8",2036,184,394,1017973,3603,1
"07 50 15.34 +07 11 37.3",270,184,2163,1016578,4995,1
"04 05 20.15 +22 00 32.2",31798,178,5400,944092,42722,1
"00 59 51.55 +27 01 28.8",3195,178,1771,1014621,4425,1
"00 12 09.10 +29 35 45.2",2173,177,327,1020194,1319,1
"07 50 59.96 +42 29 59.9",5310,176,3153,1011655,3896,1
"00 38 26.98 +14 50 21.0",858,184,676,1020820,1652,1
"01 57 46.20 +24 37 02.3",618,179,367,1022124,902,1
"02 27 10.94 +03 09 23.1",2696,177,956,1011693,8668,1
"06 03 14.86 +19 21 38.7",7147,182,5293,1007000,4568,1
"07 42 18.02 +04 20 22.2",4686,183,323,1015044,3954,1
"03 14 58.84 +27 16 16.4",399,183,1535,1020156,1917,1
"03 36 31.39 +13 05 44.7",1281,178,1541,1018805,2385,1
"01 50 05.46 +14 21 04.3",4919,183,481,1004927,13680,1
"01 05 24.74 +25 13 47.9",1290,179,969,1021164,588,1
"03 15 26.11 +80 42 35.0",2819,181,363,1017662,3165,1
"01 34 30.53 +78 03 46.6",1449,179,1912,1015837,4813,1
"02 03 51.09 +02 40 52.9",871,179,467,1021149,1524,1
"00 28 41.14 -04 49 14.0",9239,184,8157,3772449,27696,1
"03 56 36.21 +69 50 55.8",6574,185,2564,1005962,8905,1
"02 23 42.83 +25 02 49.9",400,180,1746,1017805,4059,1
"04 27 48.89 +47 52 16.1",573,180,1785,1019514,2138,1
"00 35 39.18 +19 28 38.3",2120,174,169,1017794,3933,1
"04 03 27.83 +04 17 31.0",1433,181,764,1018002,3810,1
"04 40 34.74 +61 02 33.8",2054,190,3969,1013689,4288,1
"03 42 22.53 -02 48 28.0",638,181,1068,1021531,772,1
"00 48 58.66 +25 12 35.3",673,183,1603,1019270,2461,1
"06 49 53.22 +29 42 03.8",795,180,11839,1004266,7110,1
"00 57 55.66 -03 25 11.6",3370,183,3444,3798825,11903,1
"00 55 26.78 +12 53 12.9",1720,181,1081,1015858,5350,1
"01 02 52.71 +47 02 49.8",4260,180,9420,1003477,6853,1
"01 40 53.62 +04 46 30.3",4226,179,645,1012066,7074,1
"00 33 01.41 +44 43 48.3",4333,179,1538,1013700,4440,1
"02 39 51.02 +40 09 47.0",3347,179,1375,1016127,3162,1
"01 57 51.37 +16 13 32.0",1677,179,797,1019912,1625,1
"02 09 19.42 +36 04 46.5",1555,177,400,1019824,2234,1
"07 42 00.57 +03 48 33.9",1385,180,4620,1012048,5957,1
"00 53 43.90 -03 37 04.4",0,182,367,3817072,104,1
"02 43 19.82 +28 43 51.4",1810,188,505,1017634,4053,1
"00 24 24.93 +11 15 20.5",1180,180,995,1021119,716,1
"03 29 49.60 +30 40 39.7",146,181,783,1021968,1112,1
"02 16 21.23 -07 30 46.2",2463,181,4665,3806672,3744,1
"01 01 07.98 +24 58 41.7",1465,177,1916,1017996,2636,1
